key,WY,HSIC.O,PG,STX.O,SEE,MAT.O,AMD.O,MYL.O,CSCO.O,SYK,ISRG.O,IT,WU,SNA,MHK,GWW,FE,TPR,ARNC.K,UNM,MDT,SCG,MKC,HRL,RCL,ESS,QCOM.O,GE,HAL,CBS,LLL,NBL,BMY,WEC,XEC,FISV.O,CINF.O,KEY,HRB,HOG,CMG,TROW.O,COF,FFIV.O,UAA,JPM,CL,PAYX.O,GPC,CME.O,RF,JCI,ITW,ADSK.O,FOXA.O,CNC,ACN,CAH,HES,GGP,EQIX.O,WLTW.O,IRM,WHR,BEN,JBHT.O,HCN,DUK,BBT,CERN.O,VIAB.O,KSU,SPG,RJF,XRAY.O,APA,CDNS.O,ORLY.O,SCHW.K,ANTM.K,PXD,CI,CTXS.O,XOM,UDR,STT,NEM,ADBE.O,NOV,CSX.O,ILMN.O,WDC.O,HIG,HST,NEE,GD,ORCL.K,PEG,.SPX
2010-01-04,16.375029539402878,26.715,61.12,18.89,22.02,19.99,9.7,18.72,24.69,52.16,102.92323041,18.7,19.09,42.86,48.31,97.24,46.77,36.31,37.4451174,19.94,43.9,37.59,36.3,9.57,25.8,82.62,46.94,15.45,31.25,14.25,84.37123527,36.61,25.63,24.865,55.17,24.715,26.124899530609003,5.94,22.66,25.46,87.84,53.075088,39.05,53.98,3.62636352,42.85,41.425,30.82,38.13,61.22669330077403,5.42,16.612867881261685,48.57,25.67,12.299911400000001,10.85,42.07,32.53,63.16,8.572242123686602,102.04818043469419,70.91373,18.898694369312274,81.95,35.684892315072,33.06,44.04,50.91,25.81,21.0675,29.98,33.65,74.20113644,24.27,35.33,105.87,6.12,38.5,19.78,59.75,50.98,36.37,34.113020760000005,69.15,16.21,44.46,48.45,37.09,41.53699935,16.28665038,30.55,45.26,23.86,11.759712248269803,53.25,69.19,24.85,33.63,1132.99
2010-01-05,16.72264760098912,26.64,61.14,18.52,21.79,19.58,9.71,18.52,24.58,52.65,102.45989754,18.73,19.01,42.84,48.12,97.28,46.25,36.75,36.27566028,20.23,44.8,36.97,36.2,9.62,25.89,83.12,48.07,15.53,31.65,14.18,83.79578067000001,37.56,25.23,24.54,55.07,24.82,26.134757983262066,6.17,22.34,25.65,89.02,53.67023145,40.59,52.52,3.734844480000002,43.68,41.76,30.8,38.09,61.176626205408155,5.6,16.530421886813738,48.44,25.28,12.3352306,10.505,42.33,32.24,63.55,9.05676015676454,101.0981152280185,70.75479,18.95648854169549,81.78,35.96244147752257,33.15,44.66,50.07000000000001,26.18,22.3125,30.04,34.31,73.69342465999998,24.66,34.91,107.12,6.06,38.56,19.72,60.4,51.0,36.98,34.13690943,69.42,16.19,44.55,48.58,37.7,42.25797135,16.71664995,30.35,46.46,25.69,12.0283351168851,52.73,69.3,24.82,33.6,1136.52
2010-01-06,16.53774437674112,26.725,60.85,18.39,21.37,19.5,9.57,18.34,24.42,53.46,103.94656272,18.86,19.0,43.08,47.93,97.65,46.75,37.47,38.16478332,20.41,45.33,36.86,36.34,9.5675,25.24,83.7,47.6,15.45,32.4,13.73,83.98759887,37.915,25.22,24.79,54.99,24.715,26.193908699180426,6.13,21.81,25.59,87.32,52.83117675,40.81,52.76,3.81749664,43.92,41.665,31.05,38.02,60.76178455809122,5.67,16.475457890515102,48.33,25.34,12.538316,10.63,42.78,31.71,63.72,8.97476479732058,102.0202373403802,71.89386,19.5674555068895,81.06,35.98887473108928,32.95,44.44,50.25,26.58,22.5475,29.89,32.05,72.8660425,25.01,35.14,108.8,6.13,38.39,19.36,61.38,51.89,36.9,34.0015403,70.02,16.08,43.81,49.61,37.62,42.8617854,16.76998323,32.22,46.5,26.12,12.0979780828224,53.25,69.24,24.46,33.42,1137.14
2010-01-07,16.463783087041918,26.82,60.52,18.04,21.59,20.0,9.47,18.03,24.53,55.25,103.55656311,20.44,19.61,43.8,48.77,98.57,46.05,37.49,37.35515916,20.86,45.75,36.77,36.62,9.515,25.7,84.57,48.98,16.25,32.48,14.0,84.01637159999999,37.405,25.24,24.74,54.12,24.6,26.29249322571102,6.39,21.91,25.8,86.43,52.79215095,42.83,52.23,3.77229624,44.79,41.5,31.54,38.23,60.83688520113999,6.17,16.594546549162136,48.64,25.48,12.36172,10.895,42.74,31.7,64.94,9.086576651107796,99.9338196316022,71.68194,19.881195299826977,82.8,35.66506737489697,33.08,44.53,50.49,27.65,22.68,30.2,32.41,73.81565157,24.86,35.6,107.15,6.25,38.27,19.29,63.66,52.35,38.26,33.969688739999995,69.8,16.2,44.6,49.29,36.89,42.4472265,16.65331668,32.77,45.59,26.52,12.5456828638479,53.1,69.44,24.38,32.97,1141.69
2010-01-08,16.31216244315856,26.98,60.44,17.89,21.68,19.77,9.43,17.42,24.66,55.42,102.98656368,20.66,19.8,44.71,49.64,99.73,45.81,37.27,38.27723112,20.58,45.99,36.65,36.72,9.5225,25.91,83.7,49.47,16.6,34.12,14.15,84.16023525,37.635,24.82,24.885,55.13,24.325,26.203767151833482,6.5,22.0,25.53,91.89,52.5872655,42.46,52.96,3.7645476,44.68,40.755,31.56,38.24,62.462277689980965,6.18,16.64951054546077,49.1,26.26,12.467677599999998,10.785,42.57,31.6,65.83,9.205842628480827,99.44947266349304,71.60247,19.9389894722102,84.56,35.7014130985512,34.04,44.07,50.52,27.34,22.6325,30.04,33.86,72.04806241,24.59,35.6,106.59,6.34,37.93,19.16,63.94,53.25,37.97,34.89338398,69.52,15.88,45.51,49.62,36.69,42.45623865,17.45998254,33.15,45.82,26.22,12.426294922241102,52.64,69.44,24.68,32.88,1144.98
2010-01-11,16.4194063132224,27.87,60.2,18.35,21.67,19.9,9.14,17.77,24.59,55.25,103.76322957,20.6,19.97,44.9,49.43,100.15,46.61,38.32,39.24428220000001,20.96,45.81,37.15,37.02,9.54,26.02,83.76,49.29,16.76,33.78,14.09,85.01382624,37.805,25.08,25.255,54.42,24.455,26.400936204894684,6.53,22.1,25.17,96.77,52.9580106,41.7,52.45,3.75679896,44.53,40.575,31.75,38.67,62.44976091613949,6.32,17.08006184980006,49.95,26.25,12.4323584,10.7,42.53,32.02,65.14,9.004581291663838,100.26913676337013,72.3177,20.08760305833847,84.02,36.481194078769434,34.54,44.17,51.03,27.34,22.175,30.18,34.01,72.11387690000002,24.53,36.06,106.91,6.34,38.13,19.11,64.31,52.28,37.37,33.83431961,70.3,15.99,44.36,50.18,36.21,42.04167975,17.28664938,33.82,45.87,26.17,12.316855975768206,52.6,70.73,24.69,33.04,1146.98
2010-01-12,16.227106960004484,27.48,60.89,17.72,21.5,19.35,8.65,17.41,24.2,55.21,101.46323187,20.57,19.85,43.96,48.04,100.11,46.68,38.6,34.90379712,20.91,45.32,37.12,37.36,9.635,25.67,82.65,48.49,16.77,33.29,13.56,84.57264438000001,38.035,24.81,25.15,53.63,24.24,26.35164394162939,6.41,21.97,24.81,95.42,53.26046055000001,41.86,51.02,3.74001024,43.49,40.34,31.64,38.51,61.18377864760329,6.25,17.05716018467563,48.69,25.89,11.876081,10.66,42.26,31.83,62.53,8.356072539697982,96.20807372307013,72.50313,19.848170058465136,82.35,36.6430977568656,33.71,43.77,51.09,27.43,21.755,29.48,33.52,70.69416432999998,24.05,35.8,105.29,6.2,38.85,19.09,63.46,51.14,36.54,33.444138,69.95,15.6,44.2,48.52,35.66,41.7803274,16.90331643,39.17,44.69,27.12,11.9188961704122,51.32,70.3,24.56,32.83,1136.22
2010-01-13,16.375029539402878,28.205,61.52,18.19,21.5,19.99,9.15,17.81,24.64,55.47,102.01323132,21.61,20.13,44.24,47.98,100.55,46.95,38.27,35.93831688,21.05,45.58,37.42,37.7,9.6875,26.54,84.29,48.7,16.83,34.05,13.99,85.30155354,38.375,24.99,25.32,55.35,24.445,26.58824680530282,6.49,22.27,25.88,95.64,53.78730885,42.12,52.39,3.745176,44.25,40.53,31.66,38.7,61.373318365773976,6.36,16.9014288618295,48.66,26.25,11.778953199999998,10.85,42.74,32.01,62.94,8.169719450052623,96.01247206287216,72.66207,20.36006129957364,83.07,36.88099703896608,33.86,44.71,51.21,27.9,22.0875,29.67,33.53,71.40872165,24.95,36.3,106.82,6.39,38.98,19.1,64.97,51.9,36.45,33.83431961,69.67,15.87,44.61,48.75,36.28,41.77131525,17.00664966,40.51,45.46,27.84,12.4063969319733,51.5,71.07,24.8,33.05,1145.68
2010-01-14,16.219710831034558,28.07,61.58,18.34,21.32,20.48,9.0,17.87,24.95,56.02,102.66656400000001,22.05,19.88,44.1,47.8,100.39,46.87,37.5,35.55599436,21.45,45.98,37.55,37.66,9.69,27.46,84.86,48.37,16.7,34.31,13.78,86.38532637,38.81,25.05,25.26,56.19,24.375,26.64739752122119,6.85,23.07,25.73,99.42,53.45558955,41.67,52.14,3.7322616,44.69,40.21,31.35,38.96,61.10867800455455,6.55,17.07548151677517,48.51,26.6,11.867251199999998,11.0,43.12,32.62,63.01,8.05045347267959,96.98116599909052,72.50313,20.50041857536145,83.17,36.69266010730321,34.7,44.38,51.21,28.52,22.05,29.97,33.42,71.72839203000002,25.11,36.57,107.4,6.32,38.79,19.18,66.22,52.53,36.77,34.29616723,69.68,15.74,43.79,48.42,35.9,42.3210564,16.84998315,39.03,45.77,27.26,12.346702961169903,50.01,71.1,25.34,32.82,1148.46
2010-01-15,16.11986308994064,27.8,60.82,17.77,21.12,20.28,8.84,18.2,24.4,56.03,102.85989714,21.93,19.53,43.4,46.79,100.04,46.69,36.79,35.15118228,21.39,45.61,37.32,37.59,9.64,27.13,84.29,48.53,16.44,34.03,13.26,85.79068995,38.85,25.07,25.14,54.73,23.97,26.47980382611917,6.88,22.72,25.08,98.06,52.294572,41.13,51.39,3.61474056,43.68,40.0,30.67,38.79,60.302240147054796,6.52,17.194570175422207,47.88,26.08,11.6465062,11.02,42.81,32.34,62.43,8.18462769722425,95.10897868005314,71.65545,20.128884610040764,82.3,35.78732117264304,34.02,44.3,50.7,27.76,21.76,29.45,32.92,70.41210223,24.8,35.95,107.66,6.22,38.21,19.0,66.65,50.53,36.84,34.41561058,69.11,15.55,42.67,47.61,35.87,41.6721816,16.679983319999998,39.02,43.98,26.78,11.9188961704122,50.55,70.61,25.24,32.62,1136.03
